7 10
1 2 1
1 4 10
1 6 3
1 5 5
2 3 2
3 4 9
3 7 6
4 6 8
5 6 7
5 7 4
$
7 10
1 2 1
1 4 1
1 6 3
1 5 5
2 3 2
3 4 8
3 7 6
4 6 8
5 6 2
5 7 4
$
14 22
1 6 50
2 1 5
5 6 40
6 7 60
1 4 18
2 3 11
3 4 7
4 5 10
9 11 10
5 7 30
3 12 7
12 8 10
8 4 1
8 7 35
9 10 2
8 9 9
8 11 8
14 11 100
13 14 94
12 13 3
12 14 92
7 10 40
$$
1 3 1945
1 4 4190
1 6 1913
1 7 4187
1 11 3779
1 12 3813
1 13 570
1 15 403
1 17 2437
1 19 2584
1 22 1265
1 23 1554
1 28 3686
1 29 2296
1 32 3667
1 33 2928
1 35 2850
1 37 2315
1 38 208
1 39 4358
1 43 2825
1 44 4337
1 45 4357
1 46 3547
1 48 1599
1 50 4539
2 9 999
2 10 2831
2 15 2700
2 17 90
2 18 3734
2 19 1594
2 23 2778
2 24 3972
2 25 3155
2 26 1503
2 27 1199
2 28 3358
2 29 1698
2 30 2321
2 32 2652
2 34 2126
2 35 1377
2 43 4395
2 47 4973
2 48 3898
2 49 1832
2 50 3372
3 6 1150
3 7 4475
3 9 3417
3 10 3176
3 11 1051
3 13 2869
3 15 4486
3 16 4460
3 17 4163
3 19 3528
3 23 1580
3 24 441
3 25 3538
3 27 1924
3 30 3064
3 31 2648
3 36 2708
3 37 784
3 38 742
3 44 4671
3 50 4763
4 7 1823
4 9 4857
4 11 153
4 13 1477
4 15 3613
4 16 1179
4 17 455
4 20 2555
4 21 4540
4 22 4058
4 25 3127
4 30 1159
4 31 2094
4 32 1319
4 33 494
4 36 4929
4 39 2074
4 42 2646
4 48 1299
4 49 4673
6 8 184
6 9 4972
6 13 3272
6 16 1727
6 22 1593
6 24 4621
6 28 3013
6 29 2762
6 30 1942
6 32 1915
6 34 4559
6 37 4424
6 38 3084
6 40 1549
6 44 1792
6 45 3844
6 46 537
6 49 4735
6 50 4166
7 10 3543
7 11 2432
7 12 856
7 14 3565
7 17 2328
7 23 4388
7 25 4149
7 26 3246
7 29 1261
7 30 2363
7 35 868
7 38 3856
7 39 3787
7 41 3337
7 43 3170
7 44 2435
7 46 2937
7 47 243
7 48 1468
8 10 1940
8 12 1952
8 13 803
8 14 3169
8 15 4958
8 18 4562
8 19 3435
8 20 780
8 21 1028
8 23 3025
8 24 4858
8 28 4992
8 29 1137
8 31 4441
8 32 3806
8 34 1353
8 35 2589
8 38 2721
8 39 4208
8 42 3070
8 43 4614
8 44 112
8 45 3017
8 48 1552
8 49 1723
8 50 362
9 11 3361
9 12 1976
9 15 1054
9 20 4982
9 26 3218
9 27 4348
9 29 3709
9 33 3783
9 34 3180
9 36 4247
9 39 994
9 40 1781
9 43 1637
9 45 1095
9 48 18
9 50 3869
10 12 586
10 15 1073
10 16 3586
10 17 3823
10 18 903
10 19 4486
10 20 832
10 24 3671
10 26 1118
10 27 2513
10 28 1115
10 32 1746
10 34 2152
10 35 4425
10 39 4843
10 40 4409
10 41 1698
10 42 1479
10 44 1502
10 45 2780
10 48 4403
10 49 3709
10 50 773
11 13 2310
11 17 993
11 20 123
11 21 1459
11 24 4266
11 25 1587
11 26 4365
11 28 1985
11 32 4222
11 34 3663
11 36 231
11 39 2980
11 42 288
11 43 339
11 46 4536
11 49 890
11 50 3591
12 14 72
12 15 4596
12 17 3293
12 18 1601
12 21 347
12 22 2361
12 23 1640
12 25 2621
12 29 1544
12 32 4728
12 33 388
12 34 2493
12 37 4059
12 38 3800
12 39 2442
12 40 1394
12 41 4514
13 19 3158
13 20 2966
13 22 2390
13 25 3369
13 26 4814
13 27 252
13 28 1304
13 30 493
13 31 4593
13 32 1457
13 34 4697
13 36 3127
13 39 2993
13 41 260
13 43 2019
13 45 1226
13 49 3113
14 18 4054
14 19 3086
14 22 1300
14 23 910
14 25 4900
14 26 2040
14 27 1830
14 29 3849
14 32 2301
14 34 4092
14 35 909
14 36 4657
14 37 3959
14 39 3039
14 41 4339
14 42 2023
14 43 3641
14 44 3132
14 45 4429
14 47 3210
14 48 3758
15 17 3222
15 18 151
15 20 56
15 21 4704
15 22 3564
15 23 3406
15 26 954
15 29 3093
15 30 1628
15 32 2315
15 34 2425
15 36 3484
15 37 4469
15 39 1634
15 45 3818
15 46 2166
15 48 3336
16 18 73
16 21 3741
16 24 2461
16 25 4651
16 28 3325
16 31 1922
16 36 4812
16 40 620
16 41 2240
16 43 125
16 44 3622
16 45 1954
16 46 2763
16 48 361
16 49 572
17 19 4045
17 21 1231
17 29 1404
17 33 231
17 35 1217
17 40 4341
17 42 287
17 43 319
17 45 1550
17 47 3809
17 48 4493
17 49 583
17 50 3702
18 20 2465
18 22 4048
18 25 287
18 26 597
18 27 3912
18 28 1593
18 31 505
18 34 2461
18 35 2216
18 39 4717
18 41 3534
18 44 3111
18 48 4798
18 49 2518
18 50 781
19 22 868
19 23 1458
19 26 2803
19 27 2137
19 28 3347
19 30 1563
19 31 4765
19 32 3069
19 36 4792
19 37 2699
19 39 140
19 40 3643
19 41 3333
19 43 4623
19 44 2240
19 47 3939
19 48 1668
20 22 1288
20 23 4873
20 26 2889
20 33 933
20 37 139
20 38 1802
20 39 4373
20 40 4209
20 42 731
20 44 2019
20 45 4524
20 47 1509
20 48 2934
20 49 1838
21 23 270
21 25 1510
21 27 1072
21 31 721
21 32 4026
21 33 4605
21 35 608
21 36 450
21 38 3998
21 39 1387
21 42 2288
21 44 4828
21 45 2710
21 46 290
21 48 1638
22 24 4765
22 25 3510
22 27 2711
22 30 1462
22 32 807
22 33 1795
22 38 3912
22 39 3231
22 40 1133
22 41 1934
22 42 2725
22 43 2834
22 44 870
22 46 4609
22 47 896
22 48 4920
22 50 4784
23 27 1586
23 29 4120
23 32 4007
23 33 2448
23 34 2364
23 35 1450
23 36 4405
23 37 1475
23 38 4859
23 41 265
23 43 101
23 45 1033
23 47 2640
23 48 1449
23 50 1412
24 26 4869
24 29 1783
24 30 2838
24 33 993
24 34 1749
24 35 2562
24 39 3958
24 40 853
24 42 3493
24 45 2461
24 46 684
24 48 1833
24 49 4015
25 27 1555
25 30 4132
25 31 1458
25 36 4459
25 39 4707
25 40 2935
25 41 4256
25 42 4628
25 43 4079
25 46 875
26 28 2683
26 32 3460
26 34 1462
26 35 2149
26 37 3208
26 42 3150
26 43 1835
26 45 1830
26 46 4305
26 50 1407
27 31 3783
27 34 3946
27 35 1180
27 36 68
27 37 575
27 38 1559
27 39 182
27 40 3413
27 41 2424
27 43 4661
27 46 1358
27 47 4793
27 49 1694
28 32 922
28 34 185
28 38 3023
28 41 4373
28 42 2861
28 43 1483
28 45 2261
28 47 4080
28 48 4382
28 50 4894
29 33 4174
29 38 120
29 43 453
29 44 650
29 45 1754
29 46 4930
29 47 1785
30 34 4564
30 36 4001
30 38 513
30 42 3914
30 43 1415
30 46 1821
30 47 3208
31 33 1945
31 35 2135
31 37 3776
31 39 2404
31 40 4354
31 41 4879
31 43 4721
31 44 823
31 46 2373
31 47 2244
31 48 3480
31 50 3640
32 36 1073
32 39 4501
32 42 1604
32 43 59
32 46 3527
32 48 4351
33 36 2150
33 37 797
33 40 3896
33 41 1374
33 42 255
33 44 1108
33 45 4081
33 46 2603
33 49 2167
34 36 4723
34 37 1156
34 38 4993
34 40 2143
34 43 2362
34 45 343
34 47 1950
34 48 862
34 49 920
34 50 1224
35 37 627
35 38 449
35 40 902
35 41 3740
35 43 85
35 49 1917
36 40 3689
36 41 1680
36 42 1326
36 46 1474
36 47 4276
37 42 829
37 43 4837
37 44 785
37 45 4086
37 48 2667
37 49 1502
38 40 1054
38 42 1900
38 47 1699
38 49 2541
38 50 2328
39 43 3989
39 48 3780
39 49 3770
39 50 4552
40 46 3858
40 49 4936
40 50 1636
41 43 1744
41 44 3310
41 46 50
41 47 22
42 44 1191
42 45 838
42 46 4474
42 48 1881
42 50 1096
43 45 2459
43 49 4132
43 50 4346
44 46 2161
44 49 1458
45 50 2737
46 48 3391
47 50 2733
$$
